window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_analog_2,analogico,10,29,0.3333333333333333,0.9666666666666667,20,0.37436579430921874,0.3888892518257383,0.0,0.0,0.0,52.82281374468827,1.0763931006193161,4.691333279079862,69.04898553231429,89.94769992404514,49.623129997053184,56.571659981273115,1.0,0.0
1,video_analog_2,analogico,30,59,1.0,1.9666666666666666,30,0.3552156237628628,0.40354470722711305,0.0,0.0,0.0,65.55201791578435,1.409810584783554,5.191351671006944,69.06134491041901,87.24195222077546,47.61823000153527,54.609724978217855,1.0,0.0
2,video_analog_2,analogico,60,89,2.0,2.966666666666667,30,0.28937815487740065,0.3306330324426101,0.0,0.0,0.0,95.21222262641828,1.8976852655410767,8.266943793402778,73.83830095924971,88.84662192563657,46.068839996587485,50.93306500057224,1.0,0.0
3,video_analog_2,analogico,90,119,3.0,3.966666666666667,30,0.25659705095645274,0.29641579442964694,0.03333333333333333,0.012913775444030762,0.012913775444030762,89.42257764320499,1.6102755705515543,5.9788045789930555,82.14656293998831,101.1003722511574,45.84430999433001,49.107109985197894,1.0,0.009695310221295016
4,video_analog_2,analogico,120,149,4.0,4.966666666666667,30,0.24343168100674006,0.2697241476865701,0.0,0.0,0.0,93.69168864014046,1.5938620646794637,5.051459924768519,83.23870399330208,100.8101400462963,45.55306333350018,49.18947998667135,1.0,0.0
5,video_analog_2,analogico,150,179,5.0,5.966666666666667,30,0.22029463651273878,0.2314675012377827,0.4666666666666667,0.20593843062718709,0.20593843062718709,104.1563553073137,1.7537289102872213,5.173707248263889,83.88438496252145,102.21935597511575,47.084913325185575,51.014760046382435,1.0,0.16041017786953127
6,video_analog_2,analogico,180,209,6.0,6.966666666666667,30,0.21063805215869663,0.25881179553588457,0.7666666666666667,0.41994953354199727,0.41994953354199727,113.13181688229223,1.9317461609840394,7.433991753472223,83.5757645894819,100.52976746961805,47.00328333225722,51.40709998377133,1.0,0.33011756209790916
7,video_analog_2,analogico,210,239,7.0,7.966666666666667,30,0.22011603756037681,0.23030878442524455,1.0,0.8509267230828603,0.8509267230828603,106.96925845231378,1.885109003384908,5.689793872974537,83.69898510046737,99.60648679832177,47.551783335317545,51.39285002660472,1.0,0.6636445156110599
8,video_analog_2,analogico,240,269,8.0,8.966666666666667,30,0.22652649654710885,0.26935610891143924,0.9666666666666667,0.7809312423070272,0.7809312423070272,111.38472209890644,2.0008850574493406,6.609186993634259,82.03600505049238,95.90340831163194,46.01281666546129,50.15961000171956,1.0,0.6011440149377508
9,video_analog_2,analogico,270,299,9.0,9.966666666666667,30,0.23109566367796422,0.24040878435557844,1.0,0.8185110330581665,0.8185110330581665,99.45605249921202,1.7790777444839478,4.260327437789352,84.24470065795062,98.84188957609953,49.855206662323326,58.486034991801716,1.0,0.6294402204712957
10,video_analog_2,analogico,300,329,10.0,10.966666666666667,30,0.21405150861787178,0.23077920886173836,1.0,0.8252455671628316,0.8252455671628316,107.85353769554256,1.8793986479441325,4.274333622685186,84.80164066223504,98.29193543836806,53.13148998732989,59.52939997368958,1.0,0.6485676165515535
11,video_analog_2,analogico,330,359,11.0,11.966666666666667,30,0.21728382615370734,0.2351131476665843,1.0,0.8507235666116079,0.8507235666116079,106.6834628748716,1.8439548452695211,3.856987521701389,84.5134894054499,97.36739507378472,56.428806662249066,61.45389502635226,1.0,0.6658740246877964
12,video_analog_2,analogico,360,389,12.0,12.966666666666667,30,0.2049700412821821,0.22514313717152457,1.0,0.8882238189379374,0.8882238189379374,113.90644757856009,1.9025010347366333,4.270937174479167,84.72560986792847,96.03138252314814,49.78788667940535,56.6103100136388,1.0,0.7062356818072781
13,video_analog_2,analogico,390,419,13.0,13.966666666666667,30,0.24326657160921658,0.35588309486024483,0.1,0.0557967742284139,0.0557967742284139,104.81654480923217,1.7893820961316427,7.93438527199074,81.25011695851803,94.09151273148149,51.43803999720452,60.807054993347265,1.0,0.043073941631988744
14,video_analog_2,analogico,420,449,14.0,14.966666666666667,30,0.30605749987280517,0.3379303190966342,0.16666666666666666,0.0973233312368393,0.0973233312368393,81.69248025007694,1.5194368720054627,7.874137369791667,74.85960270838338,92.40299367042824,50.52261334106637,57.58123002888169,1.0,0.06989235259432733
15,video_analog_2,analogico,450,479,15.0,15.966666666666667,30,0.25818840301128787,0.29523267340337717,0.9666666666666667,0.7417143056790034,0.7417143056790034,99.77132784809211,1.8631497144699096,6.207720341435186,77.79232591661791,94.52721126302085,50.61703999526799,56.82428998989053,1.0,0.5500387677406258
16,video_analog_2,analogico,480,509,16.0,16.966666666666665,30,0.3000849790440186,0.30909055095803617,0.5666666666666667,0.4667258580525716,0.4667258580525716,82.71410671100472,1.6014689803123474,4.756156828703704,74.90743672884551,91.12227018229167,53.072716672128685,61.674909995053895,1.0,0.32683029545286946
17,video_analog_2,analogico,510,539,17.0,17.966666666666665,30,0.287140634327565,0.3209343051991619,0.0,0.0,0.0,83.66431878795478,1.6201546669006348,4.90314771412037,77.48918212760708,94.57980183015046,49.907563327966876,54.149694973602884,1.0,0.0
18,video_analog_2,analogico,540,569,18.0,18.966666666666665,30,0.24859299155321166,0.30101085563179936,0.0,0.0,0.0,97.14851386990598,1.7386016170183818,5.4596171875,81.53821747014757,97.81117455150462,52.198109998911,59.800424971035675,1.0,0.0
19,video_analog_2,analogico,570,575,19.0,19.166666666666668,6,0.36419412378496885,0.3991744835275127,0.0,0.0,0.0,69.28348558003049,1.3699512481689453,10.807682834201389,67.96629713228171,84.65129213686343,50.9207166711955,52.63440000999253,1.0,0.0
